Date,Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Time,Payment,Rating
2023-02-02,INV001294INV000504INV000120INV000228INV001639INV000980INV000434INV001694INV000782,CCBACAABC,NaypyitawYangonMandalayNaypyitawNaypyitawMandalayMandalayYangonNaypyitaw,MemberMemberNormalMemberNormalMemberMemberNormalNormal,FemaleMaleMaleMaleMaleMaleMaleFemaleMale,Health & BeautyFashion AccessoriesElectronic AccessoriesSports & TravelFood & BeveragesHealth & BeautyFood & BeveragesHealth & BeautyHealth & Beauty,445.32,58,58.370000000000005,2381.9,11:0219:448:018:238:1415:018:578:0616:11,Credit cardCashCashEwalletCredit cardCashCashEwalletCash,59.0
2023-02-03,INV000521INV000541INV001754INV000293,BCAB,YangonNaypyitawYangonNaypyitaw,NormalMemberMemberMember,FemaleMaleMaleFemale,Electronic AccessoriesFashion AccessoriesSports & TravelFood & Beverages,227.25,14,21.64,1130.23,17:089:439:1410:21,Credit cardEwalletCredit cardCash,30.900000000000002
2023-02-04,INV000481INV000303INV001557INV001979INV001562,CBBAC,NaypyitawNaypyitawMandalayYangonYangon,MemberMemberMemberMemberNormal,MaleMaleMaleMaleFemale,Sports & TravelFashion AccessoriesFood & BeveragesHome & LifestyleHealth & Beauty,285.44000000000005,24,20.919999999999998,777.96,17:5712:2213:1019:5517:19,CashEwalletEwalletEwalletEwallet,35.7
2023-02-05,INV001108INV000429INV001945,CBA,MandalayYangonYangon,MemberMemberNormal,MaleFemaleMale,Health & BeautyHealth & BeautyFashion Accessories,150.3,27,13.52,612.69,17:2513:029:19,CashCashEwallet,16.0
2023-02-06,INV001196INV000719INV000975INV000703,CAAB,MandalayNaypyitawNaypyitawYangon,MemberMemberMemberNormal,MaleFemaleFemaleMale,Home & LifestyleElectronic AccessoriesElectronic AccessoriesFood & Beverages,129.37,19,18.17,977.06,12:4918:2113:4912:30,EwalletCredit cardCredit cardCredit card,22.0
2023-02-07,INV001478INV001322INV000784INV001879,BBCB,NaypyitawYangonYangonYangon,MemberNormalNormalMember,FemaleFemaleFemaleFemale,Home & LifestyleHealth & BeautyFood & BeveragesElectronic Accessories,178.10000000000002,23,20.14,609.89,15:4112:0513:3018:39,CashEwalletEwalletCredit card,27.1
2023-02-08,INV000953INV000349INV000337INV001802INV000531,CAAAA,NaypyitawNaypyitawNaypyitawMandalayMandalay,NormalMemberNormalMemberNormal,FemaleFemaleFemaleFemaleFemale,Food & BeveragesHealth & BeautyElectronic AccessoriesFood & BeveragesHome & Lifestyle,242.65,24,25.42,1613.5,14:179:2911:1617:4118:26,CashEwalletEwalletEwalletCash,37.6
2023-02-09,INV001583INV001753INV000004INV000430INV001814INV000002INV001661,CABBCCA,YangonMandalayNaypyitawNaypyitawNaypyitawMandalayYangon,NormalMemberMemberMemberNormalMemberNormal,MaleFemaleFemaleFemaleFemaleFemaleFemale,Food & BeveragesHealth & BeautyFood & BeveragesFood & BeveragesHealth & BeautyFood & BeveragesElectronic Accessories,289.65,34,50.04,1623.6100000000001,16:1016:4311:3514:1017:2318:449:35,EwalletEwalletCashCashCredit cardCredit cardCredit card,43.5
2023-02-10,INV001038INV000808INV000878,ACB,NaypyitawNaypyitawYangon,MemberMemberMember,MaleMaleMale,Sports & TravelSports & TravelSports & Travel,189.07,11,25.55,1028.83,14:5713:4018:05,EwalletCashEwallet,20.4
2023-02-11,INV001047INV000297INV001886INV001297INV001227INV001561INV001151,ABABBCC,YangonMandalayNaypyitawNaypyitawNaypyitawNaypyitawMandalay,NormalMemberNormalMemberMemberMemberNormal,FemaleMaleMaleMaleMaleMaleMale,Health & BeautyHealth & BeautyFashion AccessoriesHome & LifestyleHealth & BeautyHome & LifestyleFood & Beverages,334.01,34,29.68,2162.87,18:3719:1710:4414:2715:0913:0118:44,CashEwalletCredit cardEwalletEwalletCashCredit card,48.9
2023-02-12,INV000211INV001401INV001942INV000911INV000666,BBBAB,MandalayNaypyitawYangonNaypyitawNaypyitaw,MemberMemberNormalMemberNormal,MaleMaleFemaleMaleMale,Health & BeautyElectronic AccessoriesFood & BeveragesFood & BeveragesFood & Beverages,329.28,32,22.550000000000004,1502.63,10:2618:5916:4516:2519:48,Credit cardEwalletCredit cardEwalletEwallet,38.2
2023-02-13,INV000126INV001972INV001966INV000592INV000372,CCCCA,YangonNaypyitawMandalayMandalayYangon,MemberNormalNormalMemberNormal,MaleMaleMaleFemaleFemale,Food & BeveragesFashion AccessoriesHealth & BeautySports & TravelHealth & Beauty,220.06,20,26.25,967.45,18:1116:1415:3815:3716:45,EwalletCredit cardEwalletCredit cardEwallet,39.2
2023-02-14,INV000558INV000740INV000532INV000598INV001856INV001201INV001150INV001298INV001350,CCCBCACAA,MandalayYangonMandalayMandalayMandalayMandalayMandalayYangonYangon,NormalNormalNormalMemberMemberNormalMemberMemberMember,FemaleMaleMaleMaleMaleMaleFemaleFemaleMale,Fashion AccessoriesHome & LifestyleFashion AccessoriesFashion AccessoriesHealth & BeautyHome & LifestyleHealth & BeautySports & TravelHealth & Beauty,523.43,36,49.53,3235.37,18:3418:5714:418:2319:479:2219:5217:5615:51,Credit cardCredit cardCashCashEwalletEwalletCashCashCash,60.1
2023-02-15,INV000833INV001720INV000550INV000830INV000793INV001285,ABCCAB,YangonNaypyitawNaypyitawNaypyitawMandalayNaypyitaw,NormalNormalMemberMemberNormalMember,MaleFemaleFemaleFemaleMaleFemale,Health & BeautyHome & LifestyleFood & BeveragesElectronic AccessoriesFood & BeveragesSports & Travel,318.71000000000004,23,34.49,1750.68,18:5413:029:378:1414:1518:45,Credit cardEwalletCashCashCashEwallet,40.2
2023-02-16,INV000272INV000170INV000870INV001719INV000328INV000974INV001093INV001982INV001745INV001501,BBCCBCBCBC,YangonYangonMandalayNaypyitawMandalayNaypyitawYangonYangonNaypyitawMandalay,MemberNormalMemberMemberMemberNormalNormalMemberNormalNormal,FemaleMaleFemaleMaleFemaleFemaleMaleFemaleFemaleFemale,Sports & TravelHealth & BeautySports & TravelFashion AccessoriesSports & TravelHome & LifestyleSports & TravelSports & TravelFood & BeveragesHealth & Beauty,593.75,44,68.52,2492.9700000000003,13:0414:2613:0212:1814:2315:1912:449:4312:4912:32,CashCashCashEwalletEwalletEwalletCashCashEwalletEwallet,76.1
2023-02-17,INV000867INV000072INV001936INV001903INV000642INV000352,CBAAAC,YangonMandalayYangonMandalayNaypyitawNaypyitaw,NormalNormalNormalNormalNormalMember,FemaleMaleFemaleFemaleMaleMale,Sports & TravelHealth & BeautyHealth & BeautySports & TravelHome & LifestyleSports & Travel,420.1,23,25.48,1750.84,16:4010:069:2417:3814:3812:42,CashCredit cardCashEwalletCashCash,43.7
2023-02-18,INV001847INV000853INV000955INV001760INV001981,AABCB,MandalayYangonMandalayMandalayYangon,NormalMemberNormalMemberMember,MaleFemaleMaleFemaleMale,Electronic AccessoriesHome & LifestyleFashion AccessoriesFashion AccessoriesFood & Beverages,305.34,30,26.02,2183.4700000000003,12:0015:4619:5716:188:01,CashEwalletCashCashCredit card,36.2
2023-02-19,INV001268INV000633INV000574INV000722INV001712INV001003INV000963INV001188,BAACABAA,NaypyitawYangonYangonYangonMandalayNaypyitawNaypyitawMandalay,MemberNormalMemberMemberMemberNormalMemberNormal,FemaleFemaleFemaleFemaleMaleFemaleMaleFemale,Food & BeveragesFood & BeveragesHealth & BeautyFashion AccessoriesHealth & BeautyFashion AccessoriesHome & LifestyleSports & Travel,441.27,38,39.08,1937.19,16:4910:0515:0811:0917:248:5412:2512:58,EwalletEwalletCashEwalletCashCredit cardCashEwallet,59.6
2023-02-20,INV000246INV001976INV000313INV000723,ABCB,YangonYangonYangonMandalay,MemberMemberMemberNormal,FemaleMaleMaleMale,Food & BeveragesHome & LifestyleHome & LifestyleSports & Travel,104.44,10,20.13,839.47,16:1716:5712:4513:45,EwalletCredit cardEwalletCash,30.1
2023-02-21,INV000966INV000721,AA,YangonYangon,MemberNormal,MaleMale,Home & LifestyleSports & Travel,99.64,11,4.96,624.4100000000001,15:398:25,CashCredit card,12.5
2023-02-22,INV001457INV001504INV001094INV001765INV001370INV000696,AABBAA,MandalayMandalayNaypyitawYangonNaypyitawYangon,NormalNormalNormalNormalMemberMember,MaleFemaleMaleFemaleMaleMale,Sports & TravelHealth & BeautyHealth & BeautyHealth & BeautyHealth & BeautySports & Travel,314.3,30,32.36,1980.9299999999998,13:4714:2814:2919:338:059:44,EwalletCredit cardCredit cardCashCredit cardEwallet,42.2
2023-02-23,INV000762INV001805INV001352INV001319INV001048INV001622INV001487,BBCCCAB,YangonMandalayNaypyitawMandalayNaypyitawMandalayYangon,NormalNormalMemberNormalNormalMemberNormal,MaleFemaleMaleMaleMaleFemaleFemale,Health & BeautySports & TravelFood & BeveragesFood & BeveragesFashion AccessoriesHome & LifestyleFashion Accessories,411.56,24,26.87,1927.31,8:0314:3411:3318:038:1413:588:48,Credit cardCashCredit cardCredit cardEwalletCashCredit card,51.5
2023-02-24,INV000261INV001417INV000186INV001320INV000760INV000805INV000488,CABBABA,YangonMandalayNaypyitawYangonYangonMandalayNaypyitaw,MemberMemberMemberNormalNormalMemberNormal,MaleFemaleMaleMaleMaleMaleMale,Food & BeveragesHome & LifestyleHealth & BeautyFood & BeveragesHealth & BeautyFood & BeveragesFood & Beverages,221.92,30,46.800000000000004,1471.41,14:5913:2116:1912:5018:1814:258:04,Credit cardCashCashCashCredit cardCredit cardEwallet,51.1
2023-02-25,INV001118INV001613INV000651INV001630INV001183,BAACC,MandalayYangonMandalayMandalayNaypyitaw,MemberMemberMemberMemberNormal,FemaleMaleMaleFemaleFemale,Food & BeveragesElectronic AccessoriesHome & LifestyleHome & LifestyleFashion Accessories,267.77,30,33.96,1016.5699999999999,12:4815:3718:1217:579:00,EwalletEwalletCashCashCredit card,30.1
2023-02-26,INV001971INV000775INV001595INV000111INV000925INV001024,ABBAAC,NaypyitawMandalayYangonMandalayYangonMandalay,MemberNormalNormalMemberNormalNormal,FemaleMaleFemaleFemaleFemaleMale,Health & BeautyElectronic AccessoriesFood & BeveragesElectronic AccessoriesElectronic AccessoriesFashion Accessories,490.52,22,40.35,1745.8400000000001,9:4618:2512:2215:2415:4211:41,CashCashCredit cardCashEwalletEwallet,44.6
2023-02-27,INV000168INV001651INV000512INV000342INV000669INV001818INV001435INV000806INV000727,CAAACACBA,YangonNaypyitawNaypyitawMandalayNaypyitawYangonNaypyitawNaypyitawYangon,NormalMemberMemberNormalNormalNormalMemberNormalMember,MaleMaleMaleMaleFemaleMaleFemaleMaleMale,Health & BeautyHome & LifestyleSports & TravelHome & LifestyleHome & LifestyleHealth & BeautyHome & LifestyleSports & TravelHome & Lifestyle,563.17,42,52.050000000000004,3256.96,15:0510:088:0514:098:0310:5816:0114:128:44,CashCashEwalletEwalletCredit cardCashCashCredit cardCash,56.6
2023-02-28,INV001495,A,Naypyitaw,Normal,Female,Home & Lifestyle,19.25,1,6.57,138.82,15:32,Ewallet,5.3
2023-03-01,INV001461INV001301INV000296,BBB,NaypyitawMandalayMandalay,MemberMemberMember,MaleMaleMale,Health & BeautyHome & LifestyleHome & Lifestyle,224.21,20,18.95,902.0699999999999,12:1610:3317:08,Credit cardEwalletCredit card,26.7
2023-03-02,INV000319INV000173INV001729INV001750INV001991,ABBBC,NaypyitawMandalayMandalayNaypyitawYangon,MemberMemberNormalMemberMember,MaleFemaleFemaleMaleMale,Electronic AccessoriesHome & LifestyleFashion AccessoriesHealth & BeautyHealth & Beauty,148.39999999999998,15,28.11,1060.17,9:1211:5917:2819:1010:37,EwalletCashCredit cardCredit cardCredit card,41.2
2023-03-03,INV001026INV000819INV000779INV000227INV001085INV000609INV001921INV001288,BCACACAB,MandalayNaypyitawMandalayYangonMandalayMandalayMandalayNaypyitaw,MemberNormalMemberNormalNormalNormalNormalMember,FemaleMaleFemaleFemaleFemaleFemaleMaleMale,Electronic AccessoriesHome & LifestyleSports & TravelHealth & BeautyHealth & BeautyHealth & BeautyHome & LifestyleFood & Beverages,434.1,32,39.24,2620.89,12:208:3714:5011:1519:1813:3110:1514:13,Credit cardCredit cardCashCredit cardCredit cardCashCredit cardEwallet,49.7
2023-03-04,INV000107INV001426INV000882INV000332INV000184INV001254,BABABB,NaypyitawYangonMandalayMandalayYangonYangon,MemberNormalMemberNormalMemberNormal,FemaleMaleMaleMaleFemaleFemale,Fashion AccessoriesHome & LifestyleFashion AccessoriesSports & TravelHealth & BeautySports & Travel,391.43,22,25.68,1775.17,17:1819:5317:2210:5414:318:34,Credit cardCredit cardEwalletCashEwalletCredit card,40.7
2023-03-05,INV001111INV001820INV000634INV000586INV000754INV001958INV001309,CBCCACC,NaypyitawMandalayYangonMandalayNaypyitawNaypyitawMandalay,MemberNormalNormalMemberMemberMemberNormal,FemaleMaleFemaleFemaleFemaleFemaleMale,Sports & TravelFashion AccessoriesHealth & BeautyHome & LifestyleSports & TravelFashion AccessoriesElectronic Accessories,489.99,40,43.5,1924.55,17:1717:4413:1319:3113:118:558:53,EwalletEwalletCashEwalletCredit cardEwalletCash,50.5
2023-03-06,INV000069INV000671INV001419INV001502INV001704,BABAB,YangonNaypyitawYangonMandalayMandalay,NormalMemberNormalMemberMember,FemaleMaleFemaleFemaleMale,Health & BeautyHealth & BeautyHealth & BeautyFood & BeveragesElectronic Accessories,360.57,24,20.68,1099.58,10:2419:1819:0215:5316:50,CashEwalletCredit cardCashCash,39.7
2023-03-07,INV000024INV000215INV000675INV000794INV001243,ACBCC,YangonNaypyitawYangonMandalayNaypyitaw,MemberMemberMemberNormalNormal,FemaleFemaleFemaleMaleFemale,Sports & TravelHome & LifestyleHealth & BeautyFood & BeveragesFood & Beverages,233.38,19,22.84,1570.02,12:0114:0110:3813:3216:01,EwalletCredit cardCredit cardEwalletEwallet,34.6
2023-03-08,INV001070INV000086INV001992,BCA,NaypyitawYangonYangon,MemberMemberMember,MaleMaleFemale,Food & BeveragesSports & TravelHealth & Beauty,229.82999999999998,13,18.93,1038.1200000000001,9:4715:0414:42,CashCredit cardCredit card,20.2
2023-03-09,INV001263INV000019INV001880INV001105INV001703INV000903,ABBAAA,YangonNaypyitawMandalayMandalayNaypyitawNaypyitaw,NormalNormalMemberNormalNormalMember,MaleFemaleMaleFemaleFemaleMale,Health & BeautyHealth & BeautyFashion AccessoriesHealth & BeautyFood & BeveragesHome & Lifestyle,284.84,27,30.43,1434.76,19:428:3612:1514:2118:138:40,EwalletCredit cardCashCredit cardCredit cardEwallet,45.5
2023-03-10,INV001473INV001159INV001508INV001273INV000744INV000895INV000526INV001554INV000483,BBAACABBB,MandalayMandalayYangonNaypyitawMandalayYangonNaypyitawYangonYangon,MemberNormalNormalMemberMemberNormalNormalNormalNormal,MaleMaleFemaleMaleMaleMaleMaleMaleMale,Food & BeveragesSports & TravelFood & BeveragesFashion AccessoriesFashion AccessoriesHome & LifestyleElectronic AccessoriesElectronic AccessoriesElectronic Accessories,470.83,44,46.0,2668.84,18:3814:0317:5816:1215:3116:4617:4713:0713:43,CashCredit cardCredit cardCashCashCashCashCashCash,64.2
2023-03-11,INV000520INV000834INV000565INV001260,CCAA,YangonYangonMandalayYangon,MemberNormalNormalNormal,FemaleMaleMaleMale,Electronic AccessoriesSports & TravelHealth & BeautyElectronic Accessories,168.15,18,13.07,1088.6399999999999,15:018:1415:2918:16,CashEwalletEwalletCash,32.1
